Bits	Prep	Calc	Clean	Pre_Cuda	 Post_CUDA	GPU	CPU			
0	0,004457	0,000154	0,000182	0,000004	0,000002	0,004805	0,000001			
24	0,001383	0,000118	0,000145	0,000009	0,000002	0,001663	0,000001			
48	0,001493	0,000140	0,000166	0,000013	0,000002	0,001821	0,000001			
72	0,001439	0,000154	0,000160	0,000016	0,000003	0,001778	0,000001			
96	0,001306	0,000130	0,000166	0,000020	0,000004	0,001632	0,000001			
120	0,001512	0,000164	0,000157	0,000021	0,000004	0,001863	0,000001			
144	0,001589	0,000156	0,000165	0,000025	0,000004	0,001946	0,000001			
168	0,001583	0,000165	0,000159	0,000028	0,000005	0,001945	0,000001			
192	0,001376	0,000163	0,000165	0,000032	0,000006	0,001748	0,000001			
216	0,001442	0,000162	0,000175	0,000034	0,000007	0,001828	0,000001			
240	0,001645	0,000156	0,000163	0,000037	0,000007	0,002014	0,000001			
264	0,001458	0,000152	0,000164	0,000041	0,000008	0,001829	0,000001			
288	0,001500	0,000163	0,000162	0,000041	0,000008	0,001880	0,000001			
312	0,001381	0,000170	0,000158	0,000046	0,000008	0,001769	0,000001			
336	0,001533	0,000164	0,000167	0,000050	0,000009	0,001930	0,000001			
360	0,001715	0,000161	0,000172	0,000053	0,000010	0,002117	0,000001			
384	0,001600	0,000167	0,000168	0,000054	0,000009	0,002004	0,000001			
408	0,001276	0,000164	0,000148	0,000056	0,000010	0,001662	0,000001			
432	0,001472	0,000193	0,000161	0,000061	0,000011	0,001903	0,000001			
456	0,002032	0,000195	0,000181	0,000066	0,000012	0,002492	0,000001			
480	0,001613	0,000178	0,000168	0,000069	0,000013	0,002048	0,000001			
504	0,001487	0,000172	0,000162	0,000072	0,000013	0,001913	0,000001			
528	0,001387	0,000175	0,000153	0,000073	0,000013	0,001807	0,000001			
552	0,001617	0,000189	0,000165	0,000073	0,000012	0,002063	0,000001			
576	0,001985	0,000198	0,000187	0,000082	0,000015	0,002474	0,000001			
600	0,002192	0,000198	0,000188	0,000083	0,000014	0,002682	0,000001			
624	0,001294	0,000161	0,000146	0,000079	0,000014	0,001700	0,000001			
648	0,001618	0,000192	0,000159	0,000084	0,000015	0,002073	0,000001			
672	0,001512	0,000153	0,000155	0,000092	0,000016	0,001934	0,000001			
696	0,001669	0,000167	0,000172	0,000097	0,000018	0,002129	0,000001			
720	0,001443	0,000178	0,000161	0,000104	0,000019	0,001911	0,000001			
744	0,001275	0,000139	0,000155	0,000103	0,000019	0,001698	0,000001			
768	0,001768	0,000175	0,000180	0,000109	0,000018	0,002258	0,000001			
792	0,002125	0,000200	0,000185	0,000112	0,000020	0,002651	0,000002			
816	0,001589	0,000195	0,000171	0,000117	0,000019	0,002098	0,000001			
840	0,001448	0,000168	0,000159	0,000120	0,000020	0,001921	0,000001			
864	0,001642	0,000191	0,000168	0,000122	0,000022	0,002153	0,000001			
888	0,001723	0,000191	0,000175	0,000127	0,000021	0,002243	0,000001			
912	0,001594	0,000160	0,000167	0,000123	0,000021	0,002073	0,000001			
936	0,001590	0,000197	0,000176	0,000130	0,000023	0,002123	0,000001			
960	0,001346	0,000161	0,000150	0,000127	0,000020	0,001810	0,000001			
984	0,001648	0,000178	0,000171	0,000131	0,000022	0,002157	0,000002			
1008	0,001639	0,000192	0,000174	0,000136	0,000022	0,002169	0,000002			
1032	0,002170	0,000194	0,000187	0,000141	0,000024	0,002722	0,000002			
1056	0,001528	0,000198	0,000167	0,000151	0,000024	0,002075	0,000002			
1080	0,001672	0,000178	0,000163	0,000144	0,000023	0,002187	0,000002			
1104	0,001619	0,000181	0,000160	0,000148	0,000025	0,002139	0,000002			
1128	0,001582	0,000194	0,000169	0,000156	0,000026	0,002135	0,000002			
1152	0,002335	0,000194	0,000191	0,000167	0,000026	0,002920	0,000003			
1176	0,001405	0,000195	0,000152	0,000157	0,000025	0,001939	0,000002			
1200	0,001948	0,000184	0,000173	0,000163	0,000026	0,002499	0,000003			
1224	0,001750	0,000189	0,000171	0,000169	0,000027	0,002313	0,000002			
1248	0,001605	0,000180	0,000170	0,000179	0,000029	0,002171	0,000003			
1272	0,002280	0,000193	0,000186	0,000179	0,000030	0,002875	0,000002			
1296	0,001763	0,000205	0,000179	0,000191	0,000031	0,002377	0,000003			
1320	0,002455	0,000194	0,000196	0,000202	0,000032	0,003087	0,000002			
1344	0,001615	0,000159	0,000170	0,000201	0,000033	0,002184	0,000003			
1368	0,001569	0,000195	0,000167	0,000199	0,000032	0,002169	0,000003			
1392	0,002284	0,000191	0,000181	0,000197	0,000030	0,002889	0,000002			
1416	0,001694	0,000194	0,000166	0,000204	0,000033	0,002297	0,000003			
1440	0,001931	0,000195	0,000182	0,000220	0,000033	0,002569	0,000003			
1464	0,001480	0,000149	0,000161	0,000224	0,000034	0,002055	0,000002			
1488	0,001406	0,000140	0,000159	0,000226	0,000034	0,001972	0,000003			
1512	0,001673	0,000189	0,000165	0,000211	0,000032	0,002275	0,000002			
1536	0,002148	0,000184	0,000180	0,000219	0,000034	0,002772	0,000002			
1560	0,001524	0,000195	0,000159	0,000232	0,000035	0,002152	0,000003			
1584	0,001375	0,000180	0,000158	0,000224	0,000034	0,001977	0,000003			
1608	0,001538	0,000189	0,000159	0,000225	0,000034	0,002152	0,000003			
1632	0,002069	0,000189	0,000173	0,000243	0,000036	0,002716	0,000003			
1656	0,002229	0,000194	0,000178	0,000241	0,000036	0,002886	0,000003			
1680	0,001529	0,000191	0,000161	0,000236	0,000037	0,002160	0,000003			
1704	0,001396	0,000176	0,000158	0,000243	0,000038	0,002019	0,000003			
1728	0,002016	0,000202	0,000186	0,000264	0,000040	0,002716	0,000003			
1752	0,001706	0,000173	0,000167	0,000253	0,000039	0,002344	0,000003			
1776	0,001682	0,000202	0,000171	0,000272	0,000040	0,002373	0,000003			
1800	0,002399	0,000203	0,000192	0,000273	0,000041	0,003114	0,000003			
1824	0,001666	0,000188	0,000167	0,000272	0,000043	0,002343	0,000003			
1848	0,002457	0,000203	0,000191	0,000301	0,000043	0,003203	0,000003			
1872	0,001813	0,000202	0,000172	0,000291	0,000043	0,002528	0,000003			
1896	0,002436	0,000204	0,000198	0,000307	0,000046	0,003199	0,000003			
1920	0,001415	0,000218	0,000162	0,000304	0,000045	0,002150	0,000003			
1944	0,002011	0,000202	0,000182	0,000319	0,000048	0,002769	0,000003			
1968	0,002210	0,000199	0,000177	0,000302	0,000043	0,002938	0,000003			
1992	0,001663	0,000166	0,000167	0,000305	0,000044	0,002351	0,000003			
2016	0,002429	0,000200	0,000190	0,000321	0,000047	0,003194	0,000003			
2040	0,002382	0,000201	0,000190	0,000332	0,000047	0,003158	0,000002			
2064	0,002186	0,000197	0,000183	0,000331	0,000047	0,002950	0,000004			
2088	0,001762	0,000184	0,000175	0,000349	0,000049	0,002527	0,000004			
2112	0,001561	0,000203	0,000180	0,000376	0,000053	0,002382	0,000004			
2136	0,002315	0,000199	0,000182	0,000327	0,000047	0,003077	0,000004			
2160	0,001784	0,000207	0,000166	0,000331	0,000046	0,002540	0,000004			
2184	0,001691	0,000209	0,000167	0,000350	0,000048	0,002472	0,000004			
2208	0,001719	0,000197	0,000171	0,000359	0,000050	0,002504	0,000004			
2232	0,001493	0,000151	0,000166	0,000353	0,000050	0,002220	0,000005			
2256	0,001711	0,000195	0,000164	0,000364	0,000050	0,002492	0,000004			
2280	0,002173	0,000199	0,000177	0,000366	0,000052	0,002973	0,000004			
2304	0,002294	0,000194	0,000182	0,000383	0,000052	0,003112	0,000004			
2328	0,002408	0,000201	0,000189	0,000387	0,000052	0,003244	0,000005			
2352	0,001614	0,000203	0,000172	0,000389	0,000054	0,002439	0,000004			
2376	0,001999	0,000199	0,000173	0,000372	0,000051	0,002801	0,000004			
2400	0,002569	0,000208	0,000202	0,000428	0,000056	0,003470	0,000005			
2424	0,001614	0,000223	0,000169	0,000414	0,000057	0,002485	0,000005			
2448	0,001375	0,000180	0,000158	0,000403	0,000054	0,002176	0,000004			
2472	0,001909	0,000200	0,000187	0,000433	0,000060	0,002795	0,000005			
2496	0,002093	0,000201	0,000185	0,000414	0,000054	0,002955	0,000004			
2520	0,001687	0,000200	0,000167	0,000409	0,000054	0,002523	0,000004			
2544	0,002478	0,000202	0,000195	0,000438	0,000056	0,003375	0,000004			
2568	0,002419	0,000200	0,000186	0,000427	0,000057	0,003295	0,000005			
2592	0,001765	0,000207	0,000172	0,000431	0,000057	0,002640	0,000004			
2616	0,002212	0,000205	0,000170	0,000448	0,000056	0,003097	0,000004			
2640	0,001697	0,000215	0,000168	0,000431	0,000057	0,002576	0,000004			
2664	0,002392	0,000199	0,000183	0,000442	0,000058	0,003279	0,000005			
2688	0,002288	0,000195	0,000182	0,000445	0,000057	0,003174	0,000004			
2712	0,001717	0,000199	0,000163	0,000433	0,000057	0,002574	0,000004			
2736	0,001697	0,000205	0,000174	0,000474	0,000063	0,002619	0,000005			
2760	0,002531	0,000205	0,000195	0,000503	0,000065	0,003506	0,000005			
2784	0,002532	0,000204	0,000189	0,000494	0,000063	0,003489	0,000005			
2808	0,001823	0,000209	0,000178	0,000498	0,000064	0,002779	0,000004			
2832	0,002317	0,000202	0,000179	0,000499	0,000062	0,003265	0,000005			
2856	0,001712	0,000208	0,000176	0,000540	0,000070	0,002714	0,000005			
2880	0,001650	0,000214	0,000173	0,000519	0,000069	0,002633	0,000005			
2904	0,001899	0,000207	0,000184	0,000538	0,000071	0,002908	0,000005			
2928	0,002126	0,000203	0,000188	0,000538	0,000069	0,003132	0,000005			
2952	0,001607	0,000208	0,000166	0,000513	0,000066	0,002566	0,000005			
2976	0,001500	0,000156	0,000164	0,000567	0,000069	0,002462	0,000005			
3000	0,001742	0,000216	0,000172	0,000537	0,000071	0,002744	0,000005			
3024	0,002227	0,000217	0,000185	0,000567	0,000072	0,003276	0,000005			
3048	0,001862	0,000220	0,000177	0,000589	0,000075	0,002931	0,000005			
3072	0,001544	0,000190	0,000173	0,000557	0,000072	0,002545	0,000005			
3096	0,002644	0,000200	0,000195	0,000575	0,000073	0,003695	0,000005			
3120	0,002408	0,000204	0,000191	0,000590	0,000072	0,003474	0,000006			
3144	0,002426	0,000207	0,000194	0,000587	0,000072	0,003494	0,000005			
3168	0,001756	0,000221	0,000172	0,000590	0,000074	0,002820	0,000005			
3192	0,001387	0,000173	0,000153	0,000562	0,000067	0,002349	0,000005			
3216	0,001807	0,000203	0,000176	0,000590	0,000076	0,002859	0,000005			
3240	0,001768	0,000206	0,000168	0,000582	0,000074	0,002804	0,000005			
3264	0,002551	0,000200	0,000184	0,000596	0,000074	0,003613	0,000005			
3288	0,001489	0,000162	0,000160	0,000592	0,000073	0,002483	0,000005			
3312	0,002557	0,000201	0,000187	0,000622	0,000075	0,003649	0,000005			
3336	0,002259	0,000207	0,000186	0,000641	0,000078	0,003377	0,000006			
3360	0,001937	0,000201	0,000180	0,000647	0,000079	0,003052	0,000005			
3384	0,002667	0,000202	0,000198	0,000670	0,000078	0,003822	0,000005			
3408	0,001638	0,000236	0,000173	0,000659	0,000077	0,002791	0,000005			
3432	0,002535	0,000244	0,000192	0,000654	0,000077	0,003710	0,000005			
3456	0,002340	0,000241	0,000181	0,000641	0,000078	0,003488	0,000005			
3480	0,002574	0,000246	0,000183	0,000648	0,000078	0,003736	0,000005			
3504	0,002505	0,000244	0,000184	0,000657	0,000080	0,003677	0,000005			
3528	0,001520	0,000235	0,000160	0,000631	0,000076	0,002627	0,000005			
3552	0,002480	0,000252	0,000195	0,000717	0,000084	0,003736	0,000006			
3576	0,002711	0,000250	0,000200	0,000726	0,000086	0,003982	0,000005			
3600	0,002466	0,000246	0,000184	0,000669	0,000080	0,003650	0,000005			
3624	0,002513	0,000246	0,000182	0,000682	0,000082	0,003712	0,000005			
3648	0,002063	0,000244	0,000172	0,000692	0,000082	0,003260	0,000005			
3672	0,001806	0,000235	0,000167	0,000693	0,000080	0,002987	0,000005			
3696	0,001759	0,000241	0,000171	0,000697	0,000082	0,002957	0,000005			
3720	0,001686	0,000214	0,000176	0,000711	0,000085	0,002880	0,000005			
3744	0,001626	0,000201	0,000162	0,000691	0,000082	0,002768	0,000005			
3768	0,002199	0,000234	0,000178	0,000720	0,000084	0,003422	0,000005			
3792	0,002626	0,000246	0,000188	0,000738	0,000085	0,003890	0,000005			
3816	0,002466	0,000246	0,000182	0,000729	0,000083	0,003712	0,000005			
3840	0,001428	0,000227	0,000160	0,000738	0,000088	0,002647	0,000005			
3864	0,002500	0,000248	0,000191	0,000765	0,000087	0,003800	0,000005			
3888	0,002415	0,000246	0,000176	0,000740	0,000084	0,003667	0,000005			
3912	0,001677	0,000229	0,000166	0,000747	0,000088	0,002915	0,000005			
3936	0,001489	0,000238	0,000160	0,000766	0,000089	0,002748	0,000005			
3960	0,002728	0,000245	0,000190	0,000780	0,000091	0,004042	0,000006			
3984	0,001955	0,000230	0,000182	0,000782	0,000091	0,003246	0,000005			
4008	0,001799	0,000220	0,000176	0,000794	0,000091	0,003088	0,000006			
4032	0,002608	0,000245	0,000187	0,000789	0,000088	0,003925	0,000005			
4056	0,001404	0,000230	0,000160	0,000780	0,000088	0,002669	0,000005			
4080	0,002703	0,000246	0,000194	0,000815	0,000093	0,004059	0,000005			
4104	0,001734	0,000241	0,000163	0,000807	0,000090	0,003041	0,000009			
4128	0,001604	0,000219	0,000161	0,000846	0,000092	0,002930	0,000009			
4152	0,001561	0,000217	0,000163	0,000822	0,000094	0,002863	0,000009			
4176	0,002664	0,000244	0,000186	0,000855	0,000093	0,004049	0,000009			
4200	0,001962	0,000231	0,000179	0,000854	0,000095	0,003328	0,000009			
4224	0,001777	0,000223	0,000173	0,000867	0,000097	0,003144	0,000009			
4248	0,002732	0,000248	0,000191	0,000930	0,000104	0,004212	0,000010			
4272	0,002788	0,000244	0,000191	0,000895	0,000100	0,004225	0,000010			
4296	0,002608	0,000242	0,000181	0,000890	0,000098	0,004026	0,000009			
4320	0,002431	0,000240	0,000180	0,000874	0,000096	0,003828	0,000009			
4344	0,001728	0,000254	0,000174	0,000866	0,000097	0,003127	0,000009			
4368	0,002629	0,000244	0,000181	0,000886	0,000096	0,004042	0,000009			
4392	0,002562	0,000244	0,000186	0,000903	0,000099	0,004001	0,000008			
4416	0,002125	0,000252	0,000180	0,000929	0,000103	0,003596	0,000009			
4440	0,002635	0,000247	0,000184	0,000888	0,000099	0,004059	0,000009			
4464	0,001554	0,000209	0,000154	0,000887	0,000097	0,002908	0,000009			
4488	0,002587	0,000244	0,000181	0,000917	0,000101	0,004038	0,000009			
4512	0,002153	0,000247	0,000171	0,000947	0,000100	0,003625	0,000010			
4536	0,002464	0,000244	0,000178	0,000930	0,000098	0,003920	0,000009			
4560	0,002710	0,000247	0,000195	0,000973	0,000109	0,004240	0,000010			
4584	0,001605	0,000254	0,000168	0,001022	0,000109	0,003164	0,000010			
4608	0,002181	0,000227	0,000183	0,000992	0,000111	0,003701	0,000009			
4632	0,001910	0,000230	0,000187	0,001038	0,000121	0,003493	0,000010			
4656	0,002799	0,000247	0,000199	0,001013	0,000109	0,004375	0,000010			
4680	0,002724	0,000248	0,000190	0,001024	0,000111	0,004305	0,000010			
4704	0,001692	0,000227	0,000169	0,000999	0,000105	0,003199	0,000009			
4728	0,002283	0,000238	0,000178	0,000979	0,000106	0,003792	0,000010			
4752	0,001751	0,000233	0,000164	0,001006	0,000110	0,003271	0,000010			
4776	0,002673	0,000247	0,000187	0,001015	0,000107	0,004236	0,000009			
4800	0,001405	0,000226	0,000165	0,001022	0,000109	0,002934	0,000010			
4824	0,002073	0,000248	0,000181	0,001048	0,000115	0,003672	0,000010			
4848	0,002204	0,000245	0,000184	0,001070	0,000115	0,003826	0,000010			
4872	0,002788	0,000244	0,000193	0,001063	0,000110	0,004404	0,000010			
4896	0,001608	0,000243	0,000167	0,001033	0,000112	0,003170	0,000009			
4920	0,002805	0,000250	0,000193	0,001102	0,000115	0,004472	0,000010			
4944	0,002286	0,000240	0,000183	0,001098	0,000115	0,003929	0,000010			
4968	0,001735	0,000224	0,000168	0,001077	0,000117	0,003328	0,000009			
4992	0,002767	0,000245	0,000185	0,001119	0,000115	0,004438	0,000010			
5016	0,002825	0,000247	0,000191	0,001143	0,000116	0,004529	0,000010			
5040	0,001999	0,000228	0,000181	0,001167	0,000121	0,003704	0,000010			
5064	0,001959	0,000231	0,000182	0,001143	0,000120	0,003644	0,000010			
5088	0,002822	0,000247	0,000194	0,001129	0,000122	0,004521	0,000010			
5112	0,001629	0,000203	0,000164	0,001147	0,000119	0,003268	0,000010			
5136	0,002586	0,000241	0,000189	0,001188	0,000124	0,004336	0,000011			
5160	0,002335	0,000246	0,000177	0,001159	0,000119	0,004043	0,000011			
5184	0,002691	0,000243	0,000195	0,001252	0,000128	0,004517	0,000010			
5208	0,001686	0,000190	0,000168	0,001201	0,000123	0,003374	0,000010			
5232	0,001544	0,000215	0,000161	0,001170	0,000120	0,003216	0,000010			
5256	0,002292	0,000254	0,000185	0,001282	0,000128	0,004149	0,000011			
5280	0,002203	0,000253	0,000185	0,001263	0,000130	0,004042	0,000011			
5304	0,002792	0,000248	0,000195	0,001265	0,000130	0,004637	0,000010			
5328	0,002802	0,000247	0,000193	0,001243	0,000128	0,004620	0,000010			
5352	0,002682	0,000244	0,000185	0,001232	0,000121	0,004470	0,000010			
5376	0,002816	0,000246	0,000197	0,001273	0,000131	0,004670	0,000011			
5400	0,002618	0,000237	0,000186	0,001242	0,000124	0,004414	0,000011			
5424	0,001650	0,000205	0,000179	0,001299	0,000132	0,003473	0,000011			
5448	0,001614	0,000222	0,000166	0,001263	0,000128	0,003401	0,000011			
5472	0,001994	0,000237	0,000176	0,001256	0,000130	0,003801	0,000011			
5496	0,002809	0,000248	0,000190	0,001264	0,000127	0,004645	0,000010			
5520	0,002835	0,000250	0,000197	0,001329	0,000132	0,004751	0,000011			
5544	0,002872	0,000249	0,000195	0,001326	0,000134	0,004783	0,000010			
5568	0,002700	0,000246	0,000193	0,001290	0,000131	0,004568	0,000010			
5592	0,002419	0,000236	0,000178	0,001306	0,000129	0,004277	0,000009			
5616	0,001781	0,000220	0,000177	0,001344	0,000135	0,003666	0,000011			
5640	0,002771	0,000245	0,000183	0,001303	0,000128	0,004637	0,000010			
5664	0,001737	0,000232	0,000178	0,001357	0,000136	0,003649	0,000011			
5688	0,002466	0,000247	0,000187	0,001303	0,000132	0,004343	0,000010			
5712	0,002211	0,000234	0,000183	0,001369	0,000132	0,004136	0,000011			
5736	0,002862	0,000250	0,000189	0,001380	0,000134	0,004823	0,000010			
5760	0,001615	0,000251	0,000170	0,001381	0,000133	0,003557	0,000011			
5784	0,002821	0,000248	0,000194	0,001405	0,000138	0,004814	0,000011			
5808	0,002074	0,000240	0,000181	0,001371	0,000135	0,004008	0,000010			
5832	0,002775	0,000247	0,000192	0,001413	0,000138	0,004773	0,000010			
5856	0,001555	0,000204	0,000164	0,001374	0,000130	0,003432	0,000010			
5880	0,001835	0,000253	0,000169	0,001436	0,000137	0,003837	0,000010			
5904	0,002507	0,000254	0,000189	0,001463	0,000139	0,004560	0,000010			
5928	0,001929	0,000249	0,000173	0,001426	0,000139	0,003924	0,000010			
5952	0,001719	0,000196	0,000169	0,001506	0,000155	0,003754	0,000011			
5976	0,002882	0,000249	0,000194	0,001478	0,000142	0,004952	0,000011			
6000	0,002199	0,000254	0,000186	0,001530	0,000144	0,004321	0,000011			
6024	0,002498	0,000239	0,000180	0,001493	0,000146	0,004562	0,000011			
6048	0,002725	0,000248	0,000193	0,001502	0,000143	0,004819	0,000011			
6072	0,002977	0,000248	0,000206	0,001583	0,000157	0,005180	0,000012			
6096	0,002967	0,000248	0,000200	0,001604	0,000157	0,005183	0,000011			
6120	0,002471	0,000234	0,000182	0,001610	0,000152	0,004657	0,000011			
6144	0,002009	0,000235	0,000172	0,001508	0,000143	0,004075	0,000010			
6168	0,002862	0,000245	0,000193	0,001569	0,000146	0,005024	0,000012			
6192	0,002784	0,000248	0,000188	0,001497	0,000143	0,004867	0,000011			
6216	0,002680	0,000246	0,000190	0,001594	0,000150	0,004868	0,000012			
6240	0,002873	0,000250	0,000190	0,001543	0,000144	0,005007	0,000011			
6264	0,001834	0,000241	0,000172	0,001558	0,000151	0,003964	0,000012			
6288	0,002740	0,000246	0,000183	0,001539	0,000145	0,004861	0,000011			
6312	0,002058	0,000244	0,000182	0,001611	0,000153	0,004255	0,000012			
6336	0,002540	0,000250	0,000195	0,001718	0,000163	0,004873	0,000013			
6360	0,002886	0,000249	0,000201	0,001674	0,000157	0,005175	0,000012			
6384	0,001655	0,000234	0,000169	0,001655	0,000158	0,003878	0,000012			
6408	0,002954	0,000248	0,000191	0,001675	0,000155	0,005231	0,000013			
